emulator,label,build,metric,runs,mean_ticks_avg,mean_ticks_min,mean_ticks_max,mean_ticks_stdev,total_ticks_spread_percent,over_budget_total,all_pass,checksum_set,status_set
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,render_canvas,2,319093.00,319093,319093,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,render_end,2,35.00,35,35,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,render_frame,2,319748.00,319748,319748,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,timer_read_overhead_ticks,2,13.00,13,13,0.00,0.000000,0,1,00000000,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,touch_create_and_drag,2,7117.00,7117,7117,0.00,0.000000,0,1,d8635f64,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
melonds,gate,bench-nds-hw-arm-backport-gate,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
melonds,gate,bench-nds-hw-arm-backport-gate,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,frame_total,2,556182.00,556182,556182,0.00,0.000000,456,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,hit_test,2,1587.00,1587,1587,0.00,0.000000,0,1,d82df0ac,124
melonds,gate,bench-nds-hw-arm-backport-gate,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
melonds,gate,bench-nds-hw-arm-backport-gate,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
melonds,gate,bench-nds-hw-arm-backport-gate,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,physics_step,2,126903.00,126903,126903,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,render_begin,2,523.00,523,523,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,render_canvas,2,428494.00,428494,428494,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,render_end,2,35.00,35,35,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,render_frame,2,429133.00,429133,429133,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
melonds,gate,bench-nds-hw-arm-backport-gate,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
melonds,gate,bench-nds-hw-arm-backport-gate,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
melonds,gate,bench-nds-hw-arm-backport-gate,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
melonds,gate,bench-nds-hw-arm-backport-gate,timer_read_overhead_ticks,2,13.00,13,13,0.00,0.000000,0,1,00000000,124
melonds,gate,bench-nds-hw-arm-backport-gate,touch_create_and_drag,2,6603.00,6603,6603,0.00,0.000000,0,1,d8635f64,124
melonds,gate,bench-nds-hw-arm-backport-gate,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
melonds,length,bench-nds-hw-arm-backport-length,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
melonds,length,bench-nds-hw-arm-backport-length,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
melonds,length,bench-nds-hw-arm-backport-length,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
