emulator,label,build,metric,runs,mean_ticks_avg,mean_ticks_min,mean_ticks_max,mean_ticks_stdev,total_ticks_spread_percent,over_budget_total,all_pass,checksum_set,status_set
desmume,ds-arm,bench-nds-hw-arm,timer_read_overhead_ticks,2,14.00,14,14,0.00,0.000000,0,1,00000000,124
desmume,ds-arm,bench-nds-hw-arm,touch_create_and_drag,2,10831.00,10831,10831,0.00,0.000000,0,1,d8635f64,124
desmume,ds-arm,bench-nds-hw-arm,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,frame_total,2,556800.00,556800,556800,0.00,0.000000,456,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,hit_test,2,1815.00,1815,1815,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,physics_step,2,225116.00,225116,225116,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,render_begin,2,997.00,997,997,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,render_canvas,2,329629.00,329629,329629,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,render_end,2,108.00,108,108,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,render_frame,2,331094.00,331094,331094,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,timer_read_overhead_ticks,2,13.00,13,13,0.00,0.000000,0,1,00000000,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,touch_create_and_drag,2,10850.00,10850,10850,0.00,0.000000,0,1,d8635f64,124
desmume,ds-arm-fast,bench-nds-hw-arm-fast,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,frame_over_1pct_count,2,9.00,9,9,0.00,0.000000,0,0,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,frame_total,2,556801.00,556801,556801,0.00,0.000000,428,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,hit_test,2,2142.00,2142,2142,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,physics_step,2,380841.00,380841,380841,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,render_begin,2,937.00,937,937,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,render_canvas,2,173962.00,173962,173962,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,render_end,2,159.00,159,159,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,render_frame,2,175361.00,175361,175361,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,timer_read_overhead_ticks,2,14.00,14,14,0.00,0.000000,0,1,00000000,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,touch_create_and_drag,2,11696.00,11696,11696,0.00,0.000000,0,1,d8635f64,124
desmume,ds-thumb-fast,bench-nds-hw-thumb-fast,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,frame_over_1pct_count,2,13.00,13,13,0.00,0.000000,0,0,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,frame_total,2,557583.00,557583,557583,0.00,0.000000,132,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,hit_test,2,2442.00,2442,2442,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,physics_step,2,384911.00,384911,384911,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,render_begin,2,1061.00,1061,1061,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,render_canvas,2,170602.00,170602,170602,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,render_end,2,129.00,129,129,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,render_frame,2,172123.00,172123,172123,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,timer_read_overhead_ticks,2,14.00,14,14,0.00,0.000000,0,1,00000000,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,touch_create_and_drag,2,11659.00,11659,11659,0.00,0.000000,0,1,d8635f64,124
desmume,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,gate,bench-nds-hw-arm-backport-gate,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
desmume,gate,bench-nds-hw-arm-backport-gate,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,frame_total,2,556080.00,556080,556080,0.00,0.000000,454,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,hit_test,2,1914.00,1914,1914,0.00,0.000000,0,1,d82df0ac,124
desmume,gate,bench-nds-hw-arm-backport-gate,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
desmume,gate,bench-nds-hw-arm-backport-gate,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
desmume,gate,bench-nds-hw-arm-backport-gate,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,physics_step,2,215643.00,215643,215643,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,render_begin,2,991.00,991,991,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,render_canvas,2,338350.00,338350,338350,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,render_end,2,147.00,147,147,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,render_frame,2,339830.00,339830,339830,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
desmume,gate,bench-nds-hw-arm-backport-gate,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
desmume,gate,bench-nds-hw-arm-backport-gate,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
